,subject_id,ankle,arm-length,bicep,calf,chest,forearm,height,hip,leg-length,shoulder-breadth,shoulder-to-crotch,thigh,waist,wrist,photo_id,gender,height_cm,weight_kg,image_path
0,-494U-YoXOD8e8gkCuyaRLn4MLo5P8Dm2B1s59WBGdg,24.34395408630371,52.90237808227539,33.294395446777344,38.709510803222656,102.5260238647461,27.59909439086914,177.61099243164062,108.04713439941406,81.73643493652344,35.91569137573242,67.89127349853516,57.87279510498047,92.28617095947266,16.709131240844727,3000cb26b2090db5a7d82926af8c6a83,male,178.0,79.6,/Users/mukesh003/Documents/projects/TShirt Size predictor/5330_Final_codes/segmentation_measurements/segmentation_testing/test2/train/mask/3000cb26b2090db5a7d82926af8c6a83.png
1,-5iHTazqnmWBsnUY6ymoCw1kORMymRDaUla1eNOjgvI,26.56500625610352,53.2885971069336,30.80095863342285,39.85494995117188,102.39127349853516,27.71979522705078,183.7188415527344,106.04412078857422,84.05552673339844,37.8564567565918,72.00437927246094,52.93408584594727,96.5964126586914,17.93659782409668,0d4a9cce6294a2bdc6dae93d0d9c42a8,male,185.0,82.9,/Users/mukesh003/Documents/projects/TShirt Size predictor/5330_Final_codes/segmentation_measurements/segmentation_testing/test2/train/mask/0d4a9cce6294a2bdc6dae93d0d9c42a8.png
2,-60o95b9oEE83BDV3GpsAVPA4TFvxuPPqtXEY5PApy8,24.779565811157227,49.07775115966797,34.61311340332031,38.10426712036133,111.16407012939452,28.5504093170166,169.05911254882812,109.52946472167967,74.31023406982422,38.19779968261719,68.53671264648438,58.65667343139648,103.3951187133789,17.02985954284668,d9adfcab9e56b15a41704ae9e823ab06,male,166.0,88.7,/Users/mukesh003/Documents/projects/TShirt Size predictor/5330_Final_codes/segmentation_measurements/segmentation_testing/test2/train/mask/d9adfcab9e56b15a41704ae9e823ab06.png
3,-9Xvu9djN0oqidP9sUUQ-DZ6A0_upIBwARnNv7KTH3o,24.674118041992188,46.94625473022461,29.940608978271484,36.81808090209961,100.15499877929688,26.143871307373047,176.6648406982422,99.81765747070312,73.94376373291016,35.744266510009766,70.81084442138672,51.81914520263672,83.86980438232422,16.372060775756836,b8ad9ea99fb7c76617a3922a38348090,male,177.0,74.7,/Users/mukesh003/Documents/projects/TShirt Size predictor/5330_Final_codes/segmentation_measurements/segmentation_testing/test2/train/mask/b8ad9ea99fb7c76617a3922a38348090.png
4,-BdVKIwm3OGEfAEB56ar_HJqpYwmLXwhKKlyF0Gi4iU,25.46615600585937,51.1634635925293,29.09806251525879,37.15715026855469,92.7225341796875,27.15604591369629,178.9779815673828,97.8735122680664,82.30216979980469,37.23946380615234,66.81805419921875,49.03817367553711,78.92030334472656,17.399463653564453,f4c776abab7952840a393ac995fded6e,male,178.6,67.1,/Users/mukesh003/Documents/projects/TShirt Size predictor/5330_Final_codes/segmentation_measurements/segmentation_testing/test2/train/mask/f4c776abab7952840a393ac995fded6e.png
5,-JvTra6b-sTRKwQQZ6DHxXMuRtvz2X0fkXKyrXyrcrk,24.74004364013672,50.97289276123047,30.681303024291992,35.23457717895508,95.77923583984376,27.324010848999023,174.0694122314453,96.9201431274414,81.30386352539062,35.66278076171875,65.10942077636719,50.87236785888672,82.21373748779297,17.28766632080078,a040c302ff99965ebe367b063d19ee20,male,172.6,68.1,/Users/mukesh003/Documents/projects/TShirt Size predictor/5330_Final_codes/segmentation_measurements/segmentation_testing/test2/train/mask/a040c302ff99965ebe367b063d19ee20.png
6,-McEo6mC4tLSFy7VWC75sy6J50qMBLo79tWDcaCagVM,25.37160873413086,53.50772476196289,39.0116081237793,40.85094451904297,122.19342041015624,33.70765686035156,180.6703948974609,110.95491027832033,85.37957000732422,40.04086685180664,67.52969360351562,56.80635452270508,109.36113739013672,19.351045608520508,1d558f7b9774e6f5a8b87fe235db857b,male,179.0,101.7,/Users/mukesh003/Documents/projects/TShirt Size predictor/5330_Final_codes/segmentation_measurements/segmentation_testing/test2/train/mask/1d558f7b9774e6f5a8b87fe235db857b.png
7,-PYkXBwbmZJNo9F8GNPxL69Oy0c4qhIOD6Zz1lLN7jA,25.833364486694336,51.05610275268555,28.8845329284668,36.16111755371094,101.89659881591795,26.72850799560547,177.22073364257812,99.2237319946289,80.62630462646484,37.82480239868164,68.60801696777344,50.74698638916016,84.89327239990234,17.295169830322266,a3186a8ea4f4dea9b0713a391e30db37,male,179.0,72.0,/Users/mukesh003/Documents/projects/TShirt Size predictor/5330_Final_codes/segmentation_measurements/segmentation_testing/test2/train/mask/a3186a8ea4f4dea9b0713a391e30db37.png
8,-brqqjqyO72GBQPYhr5Qop65-BnuAvtFdWj2dLeVrak,26.184064865112305,50.905540466308594,28.22601127624512,37.57546615600586,98.26996612548828,26.47516822814941,176.3844451904297,95.80044555664062,79.85946655273438,36.72936630249024,66.34008026123047,52.33489227294922,79.04681396484375,16.40630531311035,51848d7dcb33156a3fa35187b42b2904,male,178.0,71.6,/Users/mukesh003/Documents/projects/TShirt Size predictor/5330_Final_codes/segmentation_measurements/segmentation_testing/test2/train/mask/51848d7dcb33156a3fa35187b42b2904.png
9,-fxrku1rAPX8f7w4HIrk9oRUecKAfNNFJd1xriLbB2A,22.063173294067383,51.9434814453125,29.011816024780277,34.99395751953125,97.8163604736328,24.351512908935547,168.27394104003906,97.56271362304688,80.80277252197266,34.313941955566406,62.23643112182617,50.93609619140625,90.39958190917967,15.613966941833496,7ab1e46a10302f1f0b989a41a856164b,male,166.5,65.8,/Users/mukesh003/Documents/projects/TShirt Size predictor/5330_Final_codes/segmentation_measurements/segmentation_testing/test2/train/mask/7ab1e46a10302f1f0b989a41a856164b.png
